Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Indonesia,IDN,597.734506697936,614.67800035292,608.672830748941,578.480952858822,582.039622009982,573.642474075567,575.863301570169,568.830963804607,614.066837154833,638.076485696931,667.649761220022,695.446971500357,724.833992058908,763.256635953719,800.65408027571,819.538910861999,854.39856737846,906.717766390934,944.755242951634,989.678300355954,1061.791789401,1119.39911020788,1118.38320739334,1139.00630123248,1191.59058771764,1195.12311547851,1240.06475649342,1276.13231995892,1324.37572952378,1396.699709074,1470.91822258528,1544.99580894527,1617.10954872218,1693.1074260189,1790.32729962455,1905.54236111238,2020.99148132509,2081.8416693962,1780.20049544892,1767.51466729756,1828.10265968361,1868.59172307292,1926.37435868149,1991.91820506473,2065.70617470842,2155.4478015921,2244.0802226202,2355.1528565328,2464.60193418272,2546.21969707767,2670.8129098953,2799.62468790318,2930.518445323,3055.24246006469,3170.72103011429,3288.22269725538,3416.81005170972,3553.51999262321,3701.32155461912,3850.90321738979,3739.44906563161,3850.68877253903,4024.91225288391,4192.65167890692,4367.86266621191,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,579.867782983835,592.627301998099,604.331788271833,579.022620522311,551.363163716143,611.822069881845,634.525297009385,643.410259077746,660.633861954064,680.964153708638,717.509245108717,749.234741728538,782.683156535545,819.205851313643,836.088098507116,881.634129609675,917.228038617529,954.123505414634,994.492241963795,1038.71192767783,1088.76034728831,1148.68153852071,1228.08927619923,1301.08597549864,1381.73754223953,1463.3379666846,1564.91068311647,1666.40086189871,1774.63585203672,1890.27861294875,2006.31195444447,2121.01339097363,2234.76098741846,2351.57441747595,2459.97874636195,2554.95638019245,2529.74622698761,2556.58912640405,2589.05015191628,2648.88726608035,2721.07810663082,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Malaysia,MYS,1266.31525712689,1327.77650865403,1376.65800987085,1439.55490061108,1477.83156448895,1551.33616738207,1631.47589814079,1654.76507573676,1746.69654709275,1791.13966548692,1855.24673850886,1993.49999498673,2128.90738683232,2321.73809965247,2455.31271360892,2416.5134488266,2632.12032089303,2768.88534365126,2883.07107029481,3077.7893337814,3216.28778690077,3332.82000559163,3420.21717115114,3518.79492112604,3670.36601236602,3515.25505625205,3444.11713819558,3508.00948571695,3737.26006906652,3953.81471255834,4184.76072928976,4456.93133148159,4726.13789172987,5062.5911043705,5390.10167606966,5771.35211956083,6190.46429134886,6480.55649455855,5857.96702940857,6070.95621987091,6455.61419792583,6334.92795651698,6516.90671560155,6732.92049458099,7025.34558004381,7234.02442689141,7469.8106921211,7769.59693350488,7976.11785374773,7700.46111294033,8118.92270511981,8400.32248683558,8710.52671359902,8964.80724896203,9341.73055971278,9648.6797937523,9901.47960179812,10293.7629205362,10610.1950240479,10902.9834855856,10171.4657842762,10388.2667120857,11191.6511756943,11445.3925275079,11883.79127749,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Cambodia,KHM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,775.61301310347,832.046370021047,768.349009368511,835.709043830217,746.08572413472,688.762215998489,678.011250962987,659.062242599126,663.885539072704,671.730248753369,679.989551081934,678.670094090388,790.553706971779,852.223975284837,849.279049748096,824.051655825487,850.610221173097,862.478030887335,845.382004291868,513.967147967874,520.926883186145,511.670349597704,496.770551310941,499.016649050833,552.901492232643,598.561915252147,632.833573980849,662.188341283454,719.333494240509,775.847139030978,866.340290123209,947.065220050691,1030.23117620792,1090.57475806147,1117.25834194514,1155.85236856699,1221.38839852454,1295.25271477893,1376.29557595926,1464.53115866927,1547.32010444393,1645.46671578126,1753.93530504662,1884.28374817086,2008.32094006706,1908.63427518336,1938.76436741728,2011.27433313262,2085.05748462122,2182.71843902341,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Viet Nam,VNM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,595.491333343053,603.977495797078,607.58999788783,616.715148033271,635.398203948006,668.323172497837,687.860316254161,713.747210806804,759.910853953724,805.606443630458,861.122422555836,927.625512005765,998.924907248853,1064.77802859908,1110.1126773248,1148.04465210832,1212.19657794381,1273.8052690094,1340.51670460271,1418.74337471509,1510.94449049599,1609.96268313651,1699.67620343393,1788.9485028957,1856.00519883979,1927.13427057454,2027.58184375924,2132.90453762087,2224.11404253256,2320.08431444934,2439.28655744423,2577.56885340113,2715.57887431272,2868.13680013379,3048.28327602145,3241.07648966529,3303.16949807493,3358.21734764714,3617.66311465012,3775.46375555802,4017.74604111554,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Thailand,THA,592.465635112506,606.205592712551,632.983035716153,663.55436582592,688.017307298417,722.392299176819,779.304978301365,822.065821475732,863.617164738641,894.636115562961,969.511716318085,989.909220029885,1005.14454673498,1079.19199094554,1099.02939594966,1125.83955126106,1202.74424654629,1291.9197681028,1394.18134022016,1438.53929504306,1482.08742004737,1538.43127414973,1589.42168596819,1645.99169094684,1707.9308019841,1754.62716249659,1818.90504659625,1957.75963674452,2180.41358654182,2406.26996824545,2631.51971095863,2810.56702001316,2989.85385369019,3186.99707103229,3391.48986604062,3614.93244016732,3766.86364433088,3614.60848543994,3295.36018381294,3403.08737356896,3514.71662970608,3599.02524877358,3783.75422073266,4018.15538187068,4232.77157261934,4372.25730206261,4551.5250018314,4760.66708464831,4805.76393990836,4737.45679763314,5059.35747831657,5070.23740191942,5403.87846036273,5516.61164164135,5541.46599361845,5688.85335397884,5857.78052935926,6076.74307700082,6314.19948412043,6434.53770518034,6035.18627737077,6121.52696529713,6278.7855138276,6408.41432577294,6574.46109387985,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Singapore,SGP,3611.95365142064,3777.39463491526,3951.76046995379,4239.9926615122,4004.45879353131,4214.50928654512,4529.52603020969,4984.78417700352,5562.32007695611,6237.25093664419,6997.19902931212,7722.8645117911,8590.60864812538,9325.56611338064,9732.7270627095,9974.22091805681,10572.5669041736,11141.5797970038,11863.6939677002,12834.1600895857,13953.890170834,14737.3005854209,15106.2507664821,16186.9145138401,17280.3703822303,17149.31550146,17396.0281363675,18986.7527003627,20595.9751389187,22031.8971300219,23272.7000932159,24132.7153290621,24973.4311358112,27139.9524278985,29220.2727915476,30379.8991144598,31349.3171805131,32835.2518506082,31043.108180076,32557.0469904063,34890.0811365168,33597.8690808226,34598.8267483781,36709.7965038255,39856.6356222613,41798.4880834671,44159.4101820552,46178.8139470199,44601.5799302699,43331.8746638962,48752.0515441859,50713.5326393594,51679.352717333,53298.9728558286,54681.9336458253,55645.6068614606,56986.7853102911,59485.3015873921,61250.3476672302,61345.5291820062,59189.70385743,67731.2610711717,68218.805333562,66167.3596303607,67706.8336149739,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Philippines,PHL,1123.78209980486,1150.62906586528,1168.60880125748,1211.82149959902,1214.70925760191,1241.10921652117,1257.98440669165,1285.2931010298,1311.52148738311,1334.73174869948,1348.64912771152,1388.24899930969,1430.58532244744,1522.01742049488,1540.04224351715,1587.49928255808,1683.65998853926,1730.59409726768,1772.22820167607,1822.1450227022,1867.56862352125,1881.81520256172,1898.13930580212,1878.60173410166,1696.57673822151,1537.66555840437,1551.40892775445,1576.97337027736,1638.03682404026,1696.00236347127,1704.07568899121,1656.38349704781,1624.34939806129,1620.35505833942,1654.74613902838,1693.80873081644,1752.23800104559,1800.25913137613,1746.52590513282,1759.42105225652,1793.34761146436,1807.70892524758,1837.25429286854,1892.82161995051,1978.34489133113,2037.8776605946,2110.42044781284,2209.34651083329,2264.9462907288,2256.72554835463,2373.14312064664,2416.75212064542,2533.74141964959,2654.41506933978,2776.92005909479,2909.85818010301,3076.3374186759,3247.4503878362,3410.93647976109,3575.88170922922,3198.66690008413,3350.97587587776,3577.70136573244,3744.69763802928,3925.3048697218,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Myanmar,MMR,129.772040232956,127.564281192478,129.887941418192,144.000792902218,132.52243957798,143.417217809945,133.398254666833,122.678900962031,134.388136938469,135.702756197415,139.275133599309,141.823799629052,142.104344666233,137.829004503598,142.387514062518,145.457960081305,151.381528103762,157.337620357431,164.358420133522,169.599433101241,179.588600930675,187.43997350101,194.360862268612,198.97314350451,204.50394396227,206.179024171186,200.215576808079,188.871667529886,164.700416641961,168.113854207283,170.233436728781,166.71043994981,180.333227419724,188.680525347254,200.124788544139,211.265635947401,222.01335977894,231.587954119212,242.132148134742,265.455335148419,298.590464510138,328.973872713504,364.855800197477,411.498764127557,463.33013572168,522.099544791815,586.085579935448,651.729730899198,714.620419027129,785.634853168658,854.932478027749,895.512538762631,953.123081936485,1024.69060474658,1099.24387751605,1166.73305547935,1225.37913972668,1290.56409027458,1361.56831265985,1440.98988238708,1301.3138635245,1136.99566055698,1174.76697947364,1177.76649647177,1158.47928099316,..
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,64932.0843458243,62303.4681448926,72760.0838890241,77308.8630968501,80082.6794581564,96517.1336821703,84483.3896949123,63568.3324706453,63000.67420568,61220.7080386665,57811.7720728478,54270.0845517948,49618.4647311583,49057.0847164443,46889.4915760067,44296.3390449877,44179.827869454,44201.1394947727,41672.3708419389,40342.0504065212,39721.4345352129,39274.4980204335,38331.6576177026,39820.2107524086,36331.1813349886,37045.9342568638,37509.5983847742,37269.3099216587,37976.2627573601,38595.1688513702,37948.6590825194,37312.2778797122,38229.3565684183,36174.516515486,34126.6941563969,32855.6021602466,33121.3178241724,33754.3640783713,33544.5389457877,32381.0739795231,31148.7297405401,30625.1287744656,29492.4145927789,29524.65912789,29200.1952024222,29996.2407223175,30015.9588506697,29256.1833678343,28549.1756060465,28645.9645396284,29563.8682753082,..
