Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,Indonesia,IDN,7.86776012301384,10.2339927674963,5.60257658602352,8.19621042134131,12.0838298170603,6.69211303247575,4.52674897119342,8.00896437839113,8.80431153717747,11.6629874908021,13.622754491018,15.7952069716776,18.7773882559159,17.8872864038855,16.7818453492716,20.3417045679256,20.7212915489406,20.127612344627,20.5341598522817,20.9343208827993,20.8715015942102,21.3844929387158,22.5834526752146,25.7454788215627,22.7931142223059,23.2691235715915,25.5509971632215,25.1710305255138,26.9915583428568,28.5347283573198,30.5515620878008,29.6714181829693,28.0025934597869,26.2806731118536,27.5706877484337,28.4298110883689,29.6023606375148,28.3076770626791,25.4295066667294,20.1387593118175,19.8508544472002,19.6726582041666,19.4291640497973,19.5060592212863,22.4486169728353,23.6405117707791,24.1309915286004,24.9469436430223,27.6985912220923,31.1147665576043,30.999408825566,31.3074540365725,32.7196280650271,31.9657795676889,32.5167414405102,32.8119265823923,32.5777314966023,32.1606388642645,32.2884970895694,32.3468845518546,31.7097564518015,30.7941950585175,29.0848755291885,29.152666728683,29.1455857193679,..
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.17886196946263,7.04225395490314,6.93127969360667,10.1890751482395,13.5008518362251,..,..,..,..,..,..,..,..,..,..,..,13.41565795568,13.5436071724261,29.0404231808259,27.7715216255189,31.754243509919,34.0580868030095,30.0695410386414,32.312243033777,31.68198579384,33.9384705525426,27.4624877401915,28.0678025249814,32.504255276611,30.6473220372757,29.8013514004447,31.556651604237,29.0076540961796,..,..,..,..,..,..,..,..,..
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,Malaysia,MYS,11.1148994203887,13.3459292339402,15.7989228007181,19.0265486725664,18.761451080982,18.3867403314917,18.1024628494233,16.379840196681,16.3707699852869,13.5942235692637,17.5078197649844,20.8490930142802,22.5808720112518,22.5337819793836,25.365298801295,25.0850797062511,22.097204913655,23.0828695114409,24.7611254817083,26.3872135102533,31.1341637277707,36.0317983788381,36.3344462371603,35.7915507353359,31.9182903834067,29.8489737963082,26.3499734614633,22.0805327742492,24.6032261556783,29.0773806695618,33.0430547274544,36.3562357538261,36.6274671161784,38.8730153199298,40.2453686413146,43.5859632404831,42.4956253054404,43.1143206941216,26.825729144233,21.8912502826136,25.2920165768334,25.1234475110543,23.4843285587911,22.4142665765613,20.9548400162009,22.3035148589531,21.9550121987185,22.4041843268104,20.5703234889584,21.9763571094904,22.4353995573594,22.1831391427095,25.3634484150354,26.4770560781611,25.9744966527874,25.8656435310901,25.5177878242928,25.062965299807,24.2004646026756,22.9367865039746,20.9140162759915,19.2873174557577,18.2081449706805,19.227400080595,20.5427183763046,..
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,Cambodia,KHM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.7623524495248,10.6909780378212,13.9168329480616,12.6760898846533,13.4196139607507,12.3863128638125,15.9789286539458,18.3895301204123,17.3896808288937,20.9017583968683,21.2723464696845,21.7474490268637,22.0482982049285,23.0793894655423,24.1617000780788,21.859577558739,25.2361352056186,21.28662800802,21.3854992854878,23.6749074349425,25.9001429708567,29.1148422384552,29.0092205221484,29.5113482528819,29.7794487571952,29.9831800685541,30.6598378372886,30.6318860127836,29.7406881932399,33.9832177454123,32.6793804081383,31.5853497927725,..
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,Viet Nam,VNM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.421159324048,26.3189430810628,26.6989347082325,27.0211652082866,25.7034770041656,27.646803095692,29.1507287630248,31.1384532684289,33.3540361533182,33.2539734687344,31.2735981689298,31.363976770146,35.1069043263026,31.8052012101133,33.857133934242,35.1596865348136,30.5694066495721,28.6527327899415,28.3027845322716,28.4047020277577,30.1767255413004,29.8938593535094,30.5447649065873,30.341493072074,30.3625675367417,30.2778176424342,31.0348551186527,30.5658412856141,30.1077352983759,29.0216638418898,..
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,Thailand,THA,12.9194766827712,13.0141278554749,14.6084607155985,16.3871952666458,17.9482006646365,17.5112465422258,18.5450967275144,21.254263663954,21.7235251984168,22.0977573852448,23.7415197548898,23.329204617571,22.7107585509935,22.4840165429863,23.2919049352413,22.8750423144597,22.9053387153204,25.9286240597972,25.2455954569889,25.5607449411811,27.772377475865,27.9896517738062,26.941106122815,28.4626632621508,28.6011107044225,27.1650727563216,25.7802866709963,27.6379269102345,30.6791112425506,34.6192111907302,40.3822231692519,41.6315883689779,39.2552719441424,39.0646210454902,39.9997289304408,41.3212778599464,41.6549461863957,34.6114374637763,22.1517868670203,20.4100107185522,21.574927709465,22.480369975609,21.9115852147245,23.0319014300881,24.8641915872839,27.7126228148178,26.8466322343858,25.4562513958054,26.4477158532838,23.108954889945,23.9927018003552,25.8363693834547,26.9936528421727,25.3835377004292,24.6613910005394,24.5284891453984,23.7136263542096,23.1083649306357,22.7862263680667,22.5729511697849,23.212428656105,23.5077904399395,23.3619271542054,22.9312009556512,22.2430564475903,..
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,Singapore,SGP,9.4975433392046,12.701328662366,14.2134187324556,15.8810964756141,19.9875785474207,20.9478482370291,19.5238946490287,19.4728093089527,22.8393364494547,26.0897801743648,32.1211708876907,36.1823402935107,37.2499186972285,34.690638346993,37.5064295400346,34.8911404575816,34.9714064811976,33.1537558398356,34.6303183657443,35.5878568860803,39.5216779540464,42.1398919346336,45.8197473897332,46.1048925324505,46.2205011214846,40.7899116066447,35.1285192711658,32.362814081384,30.2955328518518,31.6807620476769,31.7221880971397,33.1447312802701,35.1984569042466,34.644123807355,33.3560184584658,33.1861681314894,37.8763886720304,38.4332092955677,38.0166147528244,34.5735628450796,32.3263443625764,30.8870402323141,26.751423220906,24.7662944346245,24.2814234209213,23.187995656323,23.0867111452125,24.3756820742097,27.9789195945413,28.837459653074,25.5697212154501,25.2649146379052,26.4299882989556,27.5482155936688,28.128209222307,27.2222708971503,25.9412060018166,25.2084180122047,22.3921980072749,22.8859362004145,20.9935137666401,22.1246635641343,20.7545790541891,22.3944746293397,21.8964992293927,..
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,Philippines,PHL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.3691805807864,18.3117584849423,18.3438642061175,18.6282779227354,18.5446006809846,18.1815181976669,18.7189130549452,18.8739864213654,19.0839168538075,18.6154178372915,20.4021361731953,18.9666386616273,19.9300649509853,20.7830144026363,20.8621733408651,22.2316433811431,24.9966239249849,25.6429281897957,27.2832990018419,27.1551252131171,21.3022620640381,22.2792795935159,23.3459667681696,23.6345055805271,23.5705070697968,..
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,Myanmar,MMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.132431245796,10.8883467958047,12.1490865531045,15.3763343274918,19.6242738719365,18.1087984709979,22.5398742056951,27.5780982591353,23.6709520913239,24.6719369741807,15.5887589991886,18.6491948431551,21.062581811282,33.7978768533758,21.9238165341021,19.5378575210295,16.1042363710426,15.1973603615226,19.7622730940695,20.6452002021794,26.2134659610584,23.5321395841361,25.9140205339105,32.7660905395797,39.457601760031,27.2783021054882,35.0279851947862,34.3684753465283,34.587567693936,40.8914880421939,38.5070273900823,40.3776287535699,31.084391319741,25.6780332540153,29.4254013593818,27.6977511976314,..
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,Nepal,NPL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.4150028774969,14.0450736693404,14.9363420138889,16.6936953499414,14.6882740729765,15.7637790999863,15.7432154080874,17.6358591747995,19.478672985782,17.5349072297897,20.8431717683424,18.1681142775106,19.5086433671552,19.9217226224222,18.1205121598763,16.1203295428174,18.4004975727175,19.171080133897,21.2190207306383,21.0927777108676,22.06912284704,22.530362014037,21.6724358585877,21.7304592065682,19.0824942403724,19.3218230879501,19.1951166818665,19.5647773499651,19.9241819389677,20.341165051076,19.9417385462122,20.7208860024095,21.0677812172398,21.8775516208999,21.3543437434229,22.2077275326256,23.9823906217099,23.9904073980284,24.7302314405737,25.2520846904925,27.5538074614607,28.7052216904199,30.5754363978224,32.4328800328675,33.8151256823517,30.4692205221287,29.3358394598283,28.9800749908471,24.5903604521329,24.3288506292299,..
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,Sri Lanka,LKA,15.124075130383,14.9797715345455,15.531448507891,14.8383680709835,14.2403920569742,12.902028698664,14.2377353964256,15.1156357198185,14.6309601604777,19.4613082513895,17.2643442622951,15.2313167259786,14.4684200170525,13.5459682677679,12.5026292541332,13.9180494412462,15.2137204913419,13.8297580135688,19.9718739013243,25.2848989253059,31.3331429344477,27.3854479148285,30.5114976118019,29.0639057244595,25.7294498718666,23.684064665127,23.5833602638822,23.2570670435079,22.5067798289951,21.536696428217,21.8833130298585,22.615047872269,23.5229247348236,25.1969213215497,26.6386223760283,25.5888237302552,23.8904193051158,24.3602804985443,25.1195988942873,27.2819006784133,28.0360931143829,22.0011681130711,20.0732623989734,20.0384314018134,22.6379241654435,23.3719507074008,24.872051397226,24.7210150759161,25.2865656603673,23.730516434061,..,..,..,..,..,28.2586234893223,30.0891002438121,31.6001879090711,30.741963079897,28.5461677263665,25.56406175833,26.3457342576137,23.9141452966445,17.8405226610902,18.7930222888714,..
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,India,IND,14.455906652784,15.7559572420204,15.9663888851805,16.3444152182043,16.2862880757398,17.1201175988915,16.7321538272221,16.0688033930899,16.2085869350539,16.1237046729693,15.5361588781618,16.5857004538559,17.0524331665995,15.9072851413591,16.6044279898112,17.7147108391135,18.4889478328566,18.7901926326154,19.3925362346407,20.3543140219657,19.676240167639,19.8672538705789,21.0145131265752,20.569067756807,20.8504284661898,21.8032977678815,22.9009149864675,24.4436232619651,23.5719788859803,24.5768135640715,26.0821701661635,24.584333789586,25.0894998917615,23.6677562948176,23.3588882063134,25.1369225017193,24.5247871242351,25.3500521496081,25.4587677777102,27.5350924245587,26.0217848451461,29.9323096392457,28.3325248092936,28.3348257062433,30.7081414238993,32.7553370362813,33.5848915769349,35.8128781215224,34.7179593535669,33.9516269299674,33.2300146665612,34.3134166469557,33.4369343256634,31.2958008477695,30.0802370588503,28.7331441287317,28.1884378846659,28.1778136155632,29.4630681512508,28.4545443348195,27.3243213738562,29.5780345158487,31.2230944361164,30.4260455714275,29.8962309444631,..
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,Bangladesh,BGD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.4393912962956,17.1557664410058,17.3632790930077,16.5627367701504,16.4842575699599,15.8309437037216,16.1764548292232,15.4734420283602,15.7359830693445,16.1209144348967,16.4586755151535,16.8959474633294,17.3050292766937,17.9468320109013,18.402556188374,19.1197958221399,20.7299506037379,21.8162145054057,22.1214128239602,22.7213703034657,23.8085625731369,24.1743067306933,24.3414161366729,24.6791888612834,24.9918339447004,25.8304355145863,26.1441457474299,26.1784970672047,26.2022714003991,26.2060570157536,26.2466561760577,27.4209733686034,28.2623350097187,28.3896207536466,28.5778757115563,28.886689247008,30.2397639179985,30.9468731155675,31.8225747704431,32.2137331126266,31.3079413414304,31.0187387357172,32.047275580905,30.9512000834944,30.7004900245244,..
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32.8482957493576,34.4701111376771,36.9762852450189,40.8893195943455,38.2714467148885,45.5183874101034,42.7262699656755,37.1424768715904,39.7931726839377,36.6229168479624,23.5488203074844,34.3814856792652,40.7900153935041,42.9284254571152,42.8258903555228,42.317707532989,37.7573590324235,32.6782189150979,34.1713044397923,40.0343775191559,52.3538771979134,62.2382539688473,67.9348687478544,66.5147789263835,68.9344332604568,61.7106097285108,48.2746970719131,40.224760213805,45.2241686023226,49.7747231971075,62.7369005914119,67.7904383722062,69.154926235591,63.3505663166277,54.6280412607061,56.1511418956461,56.9256652736371,54.2642033755981,53.6036335285777,45.799679573097,38.5705348473916,43.9896989488756,55.107688148516,44.6066544838727,..,..
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,Zambia,ZMB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.8912216136989,27.974700660769,23.8778545961034,25.8003983321329,31.0377113251483,38.4531388748016,36.4205905653916,38.8072565095918,35.0575989116852,35.7566183829109,29.8228506521771,28.5104973388638,25.1043252414273,26.4374095105745,21.6032158081555,..
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,Zimbabwe,ZWE,20.2712674303583,18.4398602065606,14.0731992509675,12.7340500315779,11.3399795257399,11.7483753303059,10.6431326870032,11.9478569107274,16.0535560998619,13.0376977375499,14.9060747753577,16.3274585130703,16.5807530813233,19.5294210929893,20.7913320640393,21.5276725300549,18.1182491920566,15.8474117103541,13.2628604119335,12.8643191291852,14.1024986838339,17.207866396148,18.3742458327609,18.0431982361822,17.0064513362369,14.2780978692962,15.0646582979652,16.1146319155429,15.5694141313514,14.009938328856,18.2097322226681,20.5846634281749,22.3612139156181,23.5905439872093,21.3728831997679,24.5783555867885,18.0397312299153,18.0483946566674,20.6002888255728,2.55410624499016,11.7992006872596,12.1188659071637,10.1729640282101,13.8120582846174,5.1088921408281,2.00147614292537,2.22609813191353,5.08050427310071,3.28768673607967,9.92942636300183,17.0114751717126,14.6342759940464,12.148509358484,9.18157663966075,9.6088282792033,9.99586947542338,9.80823716818464,11.3993419178061,11.0482562563712,8.84133205384636,8.53111486154582,10.7642655044502,9.60250660332949,9.67550195111188,7.92626050746844,..
